DL041	305	2019-03-08
EL063	506	2019-03-08
HD239	603	2019-03-08
HA016	617	2019-03-08
BS003	896	2019-03-08
ML499	902	2019-03-15
BE706	203	2019-03-16
DA027	322	2019-03-16
DR101	050	2019-03-16
GL322	506	2019-03-16
HC300	180	2019-03-07
BA023	812	2019-03-05
EL310	506	2019-03-05
BA127	226	2019-03-15
GR024	502	2019-03-10
ML499	307	2019-03-10
ML313	307	2019-03-13
LA050	652	2019-03-07
JC850	779	2019-03-07
LC016	370	2019-03-03
JB301	050	2019-03-05
JL316	702	2019-03-06
MC304	901	2019-03-09
BC026	160	2019-03-04
DN605	308	2019-03-04
GA001	643	2019-03-03
BA135	232	2019-03-06
ML312	307	2019-03-04
EA194	533	2019-03-10
DL302	304	2019-03-06
GA207	638	2019-03-06
GN604	689	2019-03-06
GR021	502	2019-03-06
HA010	612	2019-03-06
HA195	650	2019-03-06
HA619	685	2019-03-06
JC002	778	2019-03-06
DR113	021	2019-03-07
HE715	200	2019-03-08
DE718	303	2019-03-08
BL685	023	2019-03-16
DN605	461	2019-03-16
GE717	603	2019-03-16
BA025	822	2019-03-07
BB620	030	2019-03-07
BC033	207	2019-03-07
BC933	365	2019-03-07
GA948	616	2019-03-07
HA017	619	2019-03-07
EC004	471	2019-03-05
KE848	503	2019-03-14
BC001	205	2019-03-15
KB605	021	2019-03-16
LL305	304	2019-03-13
ML499	307	2019-03-13
HR416	623	2019-03-08
HR409	650	2019-03-08
LC013	674	2019-03-08
HR407	685	2019-03-07
JL310	702	2019-03-05
LC013	814	2019-03-06
MT013	979	2019-03-11
MN401	913	2019-03-04
BI878	214	2019-03-10
GL307	508	2019-03-06
HA243	627	2019-03-06
HI002	650	2019-03-06
JA013	721	2019-03-09
JL305	702	2019-03-10
BC933	Z01	2019-03-08
DN601	466	2019-03-03
BS294	295	2019-03-07
CA603	216	2019-03-09
HE719	200	2019-03-09
DR102	021	2019-03-08
BA033	211	2019-03-08
BN609	214	2019-03-08
DA033	323	2019-03-08
EL075	505	2019-03-08
HL301	607	2019-03-08
HA606	623	2019-03-08
HA607	684	2019-03-08
BB613	020	2019-03-16
EL305	505	2019-03-16
BC279	182	2019-03-07
BL698	023	2019-03-07
ER802	023	2019-03-07
HA253	612	2019-03-07
DC294	465	2019-03-05
BA115	225	2019-03-15
JC861	762	2019-03-16
KA605	629	2019-03-16
MN609	464	2019-03-10
HS015	691	2019-03-07
JA011	712	2019-03-08
MA002	916	2019-03-08
LE701	303	2019-03-06
JA027	828	2019-03-09
LL030	024	2019-03-11
HR119	060	2019-03-04
BI876	213	2019-03-03
BC034	870	2019-03-06
BC936	209	2019-03-06
BC938	244	2019-03-06
EA074	512	2019-03-10
EA183	519	2019-03-06
HA256	617	2019-03-06
BA128	242	2019-03-09
BI856	212	2019-03-09
GA949	616	2019-03-09
DR107	021	2019-03-08
GB605	050	2019-03-08
HI011	630	2019-03-08
GI005	639	2019-03-08
HA293	658	2019-03-08
HA001	658	2019-03-08
BC007	169	2019-03-16
BI862	266	2019-03-16
DN017	560	2019-03-16
